tier,eps,rP2,rS2,bonus,crossover_bonus,classical_t,classical_w,ppi_t,ppi_w,power_gap,w_only,t_only,mcnemar_p,secs
0.3,0.0,0.30045208265081297,0.28055961252901057,-0.019892470121802397,0.03655705473055382,0.628,0.6133333333333333,0.7626666666666667,0.728,-0.034666666666666665,35,87,2.7878838112871152e-06,46.6
0.3,0.02,0.3023467856677806,0.3470603945613773,0.04471360889359666,0.03655705473055382,0.628,0.6133333333333333,0.7813333333333333,0.766,-0.015333333333333332,57,80,0.05976798194970614,46.6
0.3,0.05,0.30246790885067126,0.4059138234287339,0.10344591457806263,0.03655705473055382,0.628,0.6133333333333333,0.7846666666666666,0.796,0.011333333333333334,85,68,0.19566754746910364,46.6
0.3,0.08,0.30257512824817284,0.43692731640948496,0.1343521881613121,0.03655705473055382,0.628,0.6133333333333333,0.782,0.8073333333333333,0.025333333333333333,105,67,0.004641812329107362,46.6
0.3,0.12,0.3023040065158466,0.45298236438851264,0.15067835787266604,0.03655705473055382,0.628,0.6133333333333333,0.7913333333333333,0.8126666666666666,0.021333333333333333,101,69,0.017168697345158884,46.6
0.3,0.16,0.3016060381630448,0.45327519457866255,0.15166915641561773,0.03655705473055382,0.628,0.6133333333333333,0.7826666666666666,0.818,0.035333333333333335,117,64,9.995331947297196e-05,46.6
0.3,0.22,0.30090330537355187,0.44097566011188677,0.1400723547383349,0.03655705473055382,0.628,0.6133333333333333,0.7753333333333333,0.8166666666666667,0.04133333333333333,116,54,2.258752423377278e-06,46.6
0.5,0.0,0.500377085711142,0.4757732583933875,-0.024603827317754512,0.027542986440828088,0.628,0.6133333333333333,0.8706666666666667,0.8313333333333334,-0.03933333333333333,26,85,1.6986304619987468e-08,46.6
0.5,0.02,0.501464052064021,0.5463789145709163,0.04491486250689525,0.027542986440828088,0.628,0.6133333333333333,0.878,0.8786666666666667,0.0006666666666666666,59,58,1.0,46.5
0.5,0.05,0.5018742218247064,0.5954917138712982,0.09361749204659175,0.027542986440828088,0.628,0.6133333333333333,0.8813333333333333,0.9013333333333333,0.02,81,51,0.011314622514903772,46.6
0.5,0.08,0.5018034031468903,0.6144112221337702,0.11260781898687988,0.027542986440828088,0.628,0.6133333333333333,0.8813333333333333,0.9106666666666666,0.029333333333333333,86,42,0.00012535822987511485,46.5
0.5,0.12,0.5016452355604433,0.6183435098233697,0.11669827426292645,0.027542986440828088,0.628,0.6133333333333333,0.8826666666666667,0.914,0.03133333333333333,92,45,7.306832561012006e-05,46.5
0.5,0.16,0.500983057191066,0.6114545181265263,0.11047146093546034,0.027542986440828088,0.628,0.6133333333333333,0.8826666666666667,0.9166666666666666,0.034,93,42,1.3469767191590461e-05,46.6
0.5,0.22,0.5003922622724887,0.5953809961920543,0.09498873391956564,0.027542986440828088,0.628,0.6133333333333333,0.884,0.9033333333333333,0.019333333333333334,73,44,0.009340760589436569,46.6
0.7,0.0,0.7002308812361496,0.6784389277424193,-0.02179195349373031,0.01852891815110258,0.628,0.6133333333333333,0.966,0.942,-0.024,14,50,7.069487542545679e-06,46.5
0.7,0.02,0.7002270639873633,0.7278484787603068,0.027621414772943442,0.01852891815110258,0.628,0.6133333333333333,0.958,0.9573333333333334,-0.0006666666666666666,28,29,1.0,46.5
0.7,0.05,0.7006833280844423,0.7534803934358616,0.05279706535141926,0.01852891815110258,0.628,0.6133333333333333,0.9573333333333334,0.97,0.012666666666666666,42,23,0.024811974571552153,46.5
0.7,0.08,0.7005287601598521,0.7594063710846203,0.058877610924768176,0.01852891815110258,0.628,0.6133333333333333,0.9613333333333334,0.9726666666666667,0.011333333333333334,39,22,0.03961701489849968,46.5
0.7,0.12,0.7005517847219598,0.7563969211393919,0.05584513641743216,0.01852891815110258,0.628,0.6133333333333333,0.968,0.9773333333333334,0.009333333333333334,32,18,0.06490864707227217,46.5
0.7,0.16,0.7001474538121912,0.749162981887782,0.04901552807559073,0.01852891815110258,0.628,0.6133333333333333,0.968,0.9773333333333334,0.009333333333333334,28,14,0.04355852192384191,46.5
0.7,0.22,0.6998229434282442,0.7377507319296855,0.037927788501441295,0.01852891815110258,0.628,0.6133333333333333,0.962,0.9713333333333334,0.009333333333333334,36,22,0.08694889972991102,46.5
